Focus,Mag,H-Value,V-Value
-2,-0.3,0.95,1.497
-1.95,-0.3,0.78,1.468
-1.9,-0.3,1.02,1.428
-1.85,-0.3,0.95,1.419
-1.8,-0.3,0.94,1.514
-1.75,-0.3,0.8,1.123
-1.7,-0.3,0.82,1.105
-1.65,-0.3,0.84,0.976
-1.6,-0.3,1.24,1.585
-1.55,-0.3,1.26,1.576
-1.5,-0.3,1.02,1.538
-1.45,-0.3,1.12,1.55
-1.4,-0.3,1.44,1.629
-1.35,-0.3,1.31,1.555
-1.3,-0.3,1.1,1.571
-1.25,-0.3,1.05,1.552
-1.2,-0.3,1.39,1.576
-1.15,-0.3,1.38,1.561
-1.1,-0.3,1.41,1.571
-1.05,-0.3,1.46,1.625
-1,-0.3,1.49,1.698
-0.95,-0.3,1.48,1.718
-0.9,-0.3,1.48,1.701
-0.85,-0.3,1.36,1.533
-0.8,-0.3,1.2,1.423
-0.75,-0.3,1.36,1.508
-0.7,-0.3,1.46,1.676
-0.65,-0.3,1.47,1.694
-0.6,-0.3,1.48,1.714
-0.55,-0.3,1.48,1.698
-0.5,-0.3,1.47,1.684
-0.45,-0.3,1.46,1.643
-0.4,-0.3,1.46,1.643
-0.35,-0.3,1.46,1.625
-0.3,-0.3,1.45,1.584
-0.25,-0.3,1.45,1.579
-0.2,-0.3,1.46,1.603
-0.15,-0.3,1.46,1.614
-0.1,-0.3,1.47,1.635
-0.05,-0.3,1.47,1.657
0,-0.3,1.47,1.669
0.05,-0.3,1.46,1.624
0.1,-0.3,1.46,1.631
0.15,-0.3,1.47,1.647
0.2,-0.3,1.47,1.658
0.25,-0.3,1.46,1.655
0.3,-0.3,1.47,1.651
0.35,-0.3,1.47,1.631
0.4,-0.3,1.46,1.619
0.45,-0.3,1.47,1.635
0.5,-0.3,1.46,1.634
0.55,-0.3,1.47,1.637
0.6,-0.3,1.47,1.656
0.65,-0.3,1.47,1.667
0.7,-0.3,1.48,1.678
0.75,-0.3,1.47,1.66
0.8,-0.3,1.47,1.662
0.85,-0.3,1.47,1.646
0.9,-0.3,1.47,1.655
0.95,-0.3,1.47,1.673
1,-0.3,1.48,1.695
1.05,-0.3,1.49,1.722
1.1,-0.3,1.48,1.69
1.15,-0.3,1.48,1.68
1.2,-0.3,1.47,1.644
1.25,-0.3,1.48,1.671
1.3,-0.3,1.48,1.678
1.35,-0.3,1.49,1.691
1.4,-0.3,1.49,1.688
1.45,-0.3,1.49,1.702
1.5,-0.3,1.48,1.676
1.55,-0.3,1.48,1.659
1.6,-0.3,1.48,1.66
1.65,-0.3,1.47,1.66
1.7,-0.3,1.48,1.665
1.75,-0.3,1.5,1.683
1.8,-0.3,1.49,1.692
1.85,-0.3,1.51,1.712
1.9,-0.3,1.48,1.662
1.95,-0.3,1.48,1.652
-2,-1.2,1.47,1.835
-1.95,-1.2,1.48,1.859
-1.9,-1.2,1.48,1.96
-1.85,-1.2,1.47,1.818
-1.8,-1.2,1.46,1.89
-1.75,-1.2,1.48,1.914
-1.7,-1.2,1.46,1.997
-1.65,-1.2,1.47,1.89
-1.6,-1.2,1.46,1.959
-1.55,-1.2,1.47,1.954
-1.5,-1.2,1.47,1.926
-1.45,-1.2,1.47,1.949
-1.4,-1.2,1.46,1.934
-1.35,-1.2,1.47,1.881
-1.3,-1.2,1.48,1.883
-1.25,-1.2,1.48,1.849
-1.2,-1.2,1.48,1.809
-1.15,-1.2,1.48,1.847
-1.1,-1.2,1.49,1.839
-1.05,-1.2,1.48,1.846
-1,-1.2,1.49,1.899
-0.95,-1.2,1.51,1.973
-0.9,-1.2,1.48,1.904
-0.85,-1.2,1.48,1.945
-0.8,-1.2,1.5,1.973
-0.75,-1.2,1.51,1.962
-0.7,-1.2,1.5,2.026
-0.65,-1.2,1.5,1.918
-0.6,-1.2,1.5,1.919
-0.55,-1.2,1.49,1.914
-0.5,-1.2,1.5,1.926
-0.45,-1.2,1.49,1.982
-0.4,-1.2,1.53,2.038
-0.35,-1.2,1.51,1.893
-0.3,-1.2,1.51,1.912
-0.25,-1.2,1.52,1.91
-0.2,-1.2,1.52,1.917
-0.15,-1.2,1.51,1.907
-0.1,-1.2,1.51,1.978
-0.05,-1.2,1.52,1.902
0,-1.2,1.53,2.087
0.05,-1.2,1.52,1.928
0.1,-1.2,1.52,1.951
0.15,-1.2,1.52,1.874
0.2,-1.2,1.52,1.891
0.25,-1.2,1.52,1.898
0.3,-1.2,1.52,1.982
0.35,-1.2,1.53,1.963
0.4,-1.2,1.55,1.915
0.45,-1.2,1.54,1.905
0.5,-1.2,1.55,1.963
0.55,-1.2,1.58,1.971
0.6,-1.2,1.61,1.977
0.65,-1.2,1.63,2.089
0.7,-1.2,1.64,1.955
0.75,-1.2,1.62,2.08
0.8,-1.2,1.6,1.95
0.85,-1.2,1.59,2.055
0.9,-1.2,1.61,1.953
0.95,-1.2,1.51,1.956
1,-1.2,1.51,1.88
1.05,-1.2,1.59,1.908
1.1,-1.2,1.57,1.958
1.15,-1.2,1.57,1.898
1.2,-1.2,1.55,1.893
1.25,-1.2,1.55,1.889
1.3,-1.2,1.65,1.937
1.35,-1.2,1.54,1.896
1.4,-1.2,1.66,2.014
1.45,-1.2,1.64,1.926
1.5,-1.2,1.61,1.957
1.55,-1.2,1.62,1.936
1.6,-1.2,1.83,1.946
1.65,-1.2,1.69,1.91
1.7,-1.2,1.75,1.971
1.75,-1.2,1.86,2.027
1.8,-1.2,1.79,1.926
1.85,-1.2,1.73,1.923
1.9,-1.2,1.91,1.978
1.95,-1.2,1.97,2.107
-2,-0.3,1.82,1.674
-1.95,-0.3,1.72,1.621
-1.9,-0.3,1.63,1.593
-1.85,-0.3,1.63,1.592
-1.8,-0.3,1.58,1.591
-1.75,-0.3,1.59,1.583
-1.7,-0.3,1.65,1.602
-1.65,-0.3,1.6,1.578
-1.6,-0.3,1.62,1.596
-1.55,-0.3,1.64,1.582
-1.5,-0.3,1.66,1.599
-1.45,-0.3,1.63,1.596
-1.4,-0.3,1.61,1.582
-1.35,-0.3,1.6,1.594
-1.3,-0.3,1.61,1.588
-1.25,-0.3,1.63,1.599
-1.2,-0.3,1.63,1.598
-1.15,-0.3,1.65,1.612
-1.1,-0.3,1.64,1.626
-1.05,-0.3,1.65,1.631
-1,-0.3,1.68,1.65
-0.95,-0.3,1.66,1.646
-0.9,-0.3,1.7,1.645
-0.85,-0.3,1.72,1.64
-0.8,-0.3,1.68,1.636
-0.75,-0.3,1.6,1.618
-0.7,-0.3,1.6,1.615
-0.65,-0.3,1.6,1.62
-0.6,-0.3,1.6,1.644
-0.55,-0.3,1.61,1.617
-0.5,-0.3,1.62,1.634
-0.45,-0.3,1.59,1.634
-0.4,-0.3,1.58,1.627
-0.35,-0.3,1.6,1.631
-0.3,-0.3,1.59,1.638
-0.25,-0.3,1.6,1.626
-0.2,-0.3,1.6,1.645
-0.15,-0.3,1.61,1.633
-0.1,-0.3,1.62,1.646
-0.05,-0.3,1.63,1.643
0,-0.3,1.61,1.636
0.05,-0.3,1.59,1.622
0.1,-0.3,1.6,1.621
0.15,-0.3,1.6,1.629
0.2,-0.3,1.62,1.645
0.25,-0.3,1.64,1.663
0.3,-0.3,1.62,1.655
0.35,-0.3,1.64,1.637
0.4,-0.3,1.69,1.699
0.45,-0.3,1.73,1.667
0.5,-0.3,1.68,1.654
0.55,-0.3,1.7,1.675
0.6,-0.3,1.71,1.664
0.65,-0.3,1.68,1.637
0.7,-0.3,1.76,1.689
0.75,-0.3,1.69,1.655
0.8,-0.3,1.73,1.664
0.85,-0.3,1.74,1.638
0.9,-0.3,1.7,1.674
0.95,-0.3,1.65,1.637
1,-0.3,1.7,1.633
1.05,-0.3,1.74,1.652
1.1,-0.3,1.83,1.682
1.15,-0.3,1.84,1.682
1.2,-0.3,1.91,1.738
1.25,-0.3,1.89,1.703
1.3,-0.3,1.84,1.699
1.35,-0.3,1.75,1.663
1.4,-0.3,1.83,1.697
1.45,-0.3,1.77,1.679
1.5,-0.3,1.79,1.679
1.55,-0.3,1.82,1.684
1.6,-0.3,1.73,1.653
1.65,-0.3,1.76,1.656
1.7,-0.3,1.82,1.703
1.75,-0.3,1.83,1.676
1.8,-0.3,1.87,1.699
1.85,-0.3,1.84,1.659
1.9,-0.3,1.83,1.685
1.95,-0.3,1.82,1.673
-2,0.45,1.73,2.058
-1.95,0.45,1.81,2.126
-1.9,0.45,1.78,2.129
-1.85,0.45,1.8,2.151
-1.8,0.45,1.8,2.167
-1.75,0.45,1.8,2.153
-1.7,0.45,1.84,2.193
-1.65,0.45,1.85,2.195
-1.6,0.45,1.85,2.233
-1.55,0.45,1.92,2.268
-1.5,0.45,1.91,2.262
-1.45,0.45,1.92,2.261
-1.4,0.45,1.88,2.272
-1.35,0.45,1.9,2.27
-1.3,0.45,1.86,2.242
-1.25,0.45,1.88,2.27
-1.2,0.45,1.86,2.241
-1.15,0.45,1.84,2.215
-1.1,0.45,1.82,2.244
